City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,tierralta,8.1736,-76.0592,25.51,91,97,2.95,CO,1680491522
127,warrington,53.3925,-2.5802,3.77,83,9,2.57,GB,1680491522
128,sola,-13.8833,167.55,28.19,74,100,5.17,VU,1680491523
129,georgetown,5.4112,100.3354,26.96,89,40,0.0,MY,1680491492
130,ribeira grande,38.5167,-28.7,13.21,68,53,3.58,PT,1680491523
131,olinda,-8.0089,-34.8553,27.85,69,75,1.54,BR,1680491500
132,hobart,-42.8794,147.3294,19.92,55,75,3.09,AU,1680491372
133,wausau,44.9591,-89.6301,9.79,61,0,7.72,US,1680491378
134,itoman,26.1247,127.6694,25.01,50,40,7.2,JP,1680491525
135,bambous virieux,-20.3428,57.7575,26.79,80,92,3.86,MU,1680491525
136,hasaki,35.7333,140.8333,15.22,54,26,9.18,JP,1680491525
137,paamiut,61.994,-49.6678,-2.18,55,56,4.06,GL,1680491526
138,tual,-5.6667,132.75,28.0,72,69,3.66,ID,1680491526
139,kloulklubed,7.0419,134.2556,28.28,69,99,1.4,PW,1680491526
140,puerto ayora,-0.7393,-90.3518,26.42,93,72,2.36,EC,1680491527
141,sorong,-0.8833,131.25,27.15,76,100,1.85,ID,1680490989
142,kamaishi,39.2667,141.8833,9.5,54,2,3.37,JP,1680491527
143,novyy urengoy,66.0833,76.6333,-10.3,89,6,5.8,RU,1680491528
144,samarai,-10.6167,150.6667,28.92,72,98,4.88,PG,1680491528
145,port hardy,50.6996,-127.4199,4.11,72,15,7.31,CA,1680491529
146,westport,41.1415,-73.3579,5.46,39,0,2.57,US,1680491292
147,poum,-20.2333,164.0167,27.27,79,33,4.29,NC,1680491530
148,nizhniy ingash,56.2,96.53,-3.96,66,99,5.57,RU,1680491531
149,paragominas,-2.9667,-47.4833,22.05,99,100,0.38,BR,1680491531
150,batemans bay,-35.7167,150.1833,20.05,55,70,4.2,AU,1680491531
151,meulaboh,4.1363,96.1285,25.84,80,100,1.13,ID,1680491532
152,mumford,5.2618,-0.759,26.33,84,51,2.82,GH,1680491532
153,palmer,42.1584,-72.3287,2.23,56,0,0.0,US,1680491532
154,kenitra,34.261,-6.5802,7.42,88,3,1.79,MA,1680491533
155,otrado-kubanskoye,45.2442,40.8408,7.36,73,92,2.62,RU,1680491533
156,bredasdorp,-34.5322,20.0403,17.35,86,62,3.07,ZA,1680491534
157,havoysund,70.9963,24.6622,-1.87,65,100,5.13,NO,1680491534
158,beloha,-25.1667,45.05,21.0,92,62,3.32,MG,1680491535
159,yellowknife,62.456,-114.3525,-11.71,72,75,2.06,CA,1680491347
160,vila franca do campo,37.7167,-25.4333,11.23,65,65,4.88,PT,1680491536
161,salalah,17.0151,54.0924,29.05,34,0,4.12,OM,1680491536
162,prabumulih,-3.45,104.25,27.79,81,100,0.75,ID,1680491537
163,masuguru,-11.3667,38.4167,20.98,96,95,1.02,TZ,1680491537
164,ciudad bolivar,8.1222,-63.5497,27.0,62,77,5.87,VE,1680491538
165,deputatskiy,69.3,139.9,-12.99,76,100,2.11,RU,1680491538
166,saint-pierre,-21.3393,55.4781,24.82,65,0,3.6,RE,1680491538
